,W/L/R,Date,Duration,KDA,CS
0,Defeat,471 days ago,37min,14  /  4  /  11,245 CS
1,Remake,471 days ago,3min,1  /  0  /  1,13 CS
2,Defeat,471 days ago,22min,4  /  7  /  3,101 CS
3,Victory,472 days ago,28min,6  /  6  /  13,173 CS
4,Victory,472 days ago,21min,5  /  2  /  9,158 CS
5,Victory,472 days ago,24min,2  /  1  /  8,164 CS
6,Victory,472 days ago,24min,5  /  0  /  16,132 CS
7,Victory,472 days ago,23min,4  /  0  /  7,117 CS
8,Defeat,482 days ago,27min,5  /  8  /  4,98 CS
9,Defeat,482 days ago,20min,1  /  8  /  0,31 CS
10,Remake,482 days ago,3min,0  /  2  /  1,0 CS
11,Victory,491 days ago,26min,9  /  2  /  7,194 CS
12,Defeat,514 days ago,38min,11  /  10  /  10,173 CS
13,Victory,516 days ago,27min,15  /  4  /  7,157 CS
14,Defeat,517 days ago,26min,1  /  4  /  7,21 CS
15,Victory,518 days ago,33min,1  /  2  /  24,26 CS
16,Defeat,518 days ago,29min,0  /  2  /  5,9 CS
17,Defeat,518 days ago,23min,1  /  7  /  6,12 CS
18,Defeat,518 days ago,32min,0  /  5  /  4,0 CS
19,Victory,520 days ago,28min,5  /  5  /  4,170 CS
20,Victory,520 days ago,34min,11  /  8  /  2,218 CS
21,Defeat,521 days ago,38min,12  /  14  /  10,211 CS
22,Defeat,521 days ago,37min,4  /  13  /  12,157 CS
23,Victory,521 days ago,24min,12  /  4  /  5,153 CS
