,W/L/R,Date,Duration,KDA,CS
0,Defeat,3 days ago,24min,0  /  6  /  0,119 CS
1,Defeat,112 days ago,37min,6  /  4  /  16,155 CS
2,Victory,112 days ago,19min,2  /  0  /  3,115 CS
3,Defeat,113 days ago,26min,3  /  5  /  4,112 CS
4,Remake,113 days ago,3min,0  /  0  /  0,8 CS
5,Defeat,114 days ago,25min,1  /  8  /  9,31 CS
6,Defeat,114 days ago,24min,2  /  4  /  4,99 CS
7,Victory,245 days ago,33min,4  /  4  /  23,30 CS
8,Defeat,309 days ago,34min,10  /  6  /  8,184 CS
9,Victory,309 days ago,27min,10  /  2  /  6,168 CS
10,Defeat,310 days ago,24min,2  /  7  /  4,139 CS
11,Defeat,310 days ago,44min,9  /  12  /  8,173 CS
12,Defeat,310 days ago,36min,4  /  7  /  7,199 CS
13,Victory,311 days ago,43min,14  /  1  /  18,292 CS
14,Defeat,311 days ago,26min,5  /  5  /  2,157 CS
15,Victory,311 days ago,20min,1  /  3  /  7,132 CS
16,Defeat,312 days ago,29min,3  /  8  /  5,149 CS
17,Defeat,312 days ago,27min,0  /  6  /  4,151 CS
18,Defeat,366 days ago,28min,3  /  5  /  3,116 CS
19,Defeat,389 days ago,18min,4  /  6  /  1,75 CS
20,Defeat,483 days ago,20min,0  /  4  /  0,116 CS
21,Remake,483 days ago,3min,0  /  1  /  1,3 CS
22,Victory,492 days ago,27min,7  /  3  /  4,109 CS
23,Victory,492 days ago,20min,9  /  4  /  7,91 CS
24,Defeat,492 days ago,33min,10  /  11  /  6,146 CS
25,Defeat,492 days ago,22min,4  /  8  /  9,27 CS
26,Victory,492 days ago,20min,11  /  2  /  6,119 CS
27,Victory,492 days ago,26min,10  /  2  /  6,119 CS
28,Defeat,496 days ago,26min,7  /  6  /  2,121 CS
29,Victory,496 days ago,26min,8  /  2  /  12,131 CS
30,Victory,496 days ago,27min,5  /  5  /  7,138 CS
31,Victory,514 days ago,24min,11  /  3  /  10,198 CS
32,Victory,514 days ago,20min,10  /  1  /  8,143 CS
33,Victory,514 days ago,26min,8  /  2  /  15,168 CS
34,Defeat,514 days ago,31min,8  /  8  /  4,147 CS
35,Defeat,515 days ago,38min,0  /  8  /  13,238 CS
36,Victory,516 days ago,29min,8  /  4  /  12,152 CS
37,Defeat,516 days ago,21min,7  /  6  /  8,136 CS
38,Victory,516 days ago,19min,6  /  2  /  10,139 CS
39,Victory,516 days ago,18min,6  /  1  /  12,148 CS
40,Defeat,516 days ago,31min,4  /  8  /  9,164 CS
41,Victory,516 days ago,27min,3  /  4  /  5,164 CS
42,Victory,516 days ago,38min,15  /  8  /  6,230 CS
43,Victory,517 days ago,23min,2  /  2  /  5,150 CS
44,Victory,517 days ago,26min,11  /  7  /  3,160 CS
45,Victory,517 days ago,30min,6  /  2  /  7,195 CS
46,Victory,517 days ago,28min,6  /  8  /  10,136 CS
47,Victory,517 days ago,24min,10  /  3  /  16,143 CS
48,Defeat,518 days ago,28min,7  /  8  /  3,145 CS
49,Defeat,518 days ago,20min,0  /  6  /  0,68 CS
50,Victory,518 days ago,27min,19  /  11  /  6,134 CS
51,Victory,518 days ago,19min,11  /  5  /  7,118 CS
52,Victory,518 days ago,27min,16  /  5  /  12,149 CS
53,Victory,518 days ago,30min,11  /  7  /  12,177 CS
54,Victory,647 days ago,32min,10  /  11  /  7,159 CS
